name	INCHIKEY	HMDB	KEGG	PUBCHEM	CHEBI
glucose	WQZGKKKJIJFFOK-GASJEMHNSA-N	HMDB0000122	C00031	5793,79025	17234
lactate	JVTAAEKCZFNVCJ-UHFFFAOYSA-N	HMDB0000190	C00186	612	
pyruvate	LCTONWCANYUPML-UHFFFAOYSA-M	HMDB0000243	C00022	1060	15361
glycine	DHMQDGOQFOQNFH-UHFFFAOYSA-N	HMDB0000123	C00037		
alanine	QNAYBMKLOCPYGJ-REOHCLBHSA-N			5950	16449
citrate	KRKNYBCHXYNGOX-UHFFFAOYSA-K	HMDB0000094	C00158	311	30769
malate	BJEPYKJPYRNKOW-REOHCLBHSA-N	HMDB0000156	C00149	525	
tyrosine	OUYCCCASQSFEME-QMMMGPOBSA-N	HMDB0000158	C00082		18186
tryptophan	QIVBCDIJIAJPQS-VIFPVBQESA-N	HMDB0000929		6305	
phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N		C00079	6140	28044
leucine	ROHFNLRQFUQHCH-YFKPBYRVSA-N	HMDB0000687	C00123	6106	
isoleucine
valine	KZSNJWFQEVHDMF-BYPYZUCNSA-N	HMDB0000883	C00183	6287	
methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N		C00073	6137	16643
cysteine	XUJNEKJLAYXESH-REOHCLBHSA-N	HMDB0000574		5862	
serine	MTCFGRXMJLQNBG-REOHCLBHSA-N	HMDB0000187	C00065	5951	17822
threonine	AYFVYJQAPQTCCC-GBXIJSLDSA-N		C00188	6288	
proline	ONIBWKKTOPOVIA-BYPYZUCNSA-N	HMDB0000162			17203
glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N	HMDB0000641	C00064	5961	28300
asparagine
lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N	HMDB0000182			18019
histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N	HMDB0000177	C00135	6274	
ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N		C00077;D08302		15729
citrulline	RHGKLRLOHDJJDR-BYPYZUCNSA-N	HMDB0000904		9750	
urea	XSQUKJJJFZCRTK-UHFFFAOYSA-N	HMDB0000294	C00086		16199
creatine
taurine	XOAAWQZATWQOTB-UHFFFAOYSA-N	HMDB0000251			15891
betaine	KWIUHFFTVRNATP-UHFFFAOYSA-N	HMDB0000043	C00719	247	17750
choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N		C00114,D07690	305	
acetylcholine	OIPILFWXSMYKGL-UHFFFAOYSA-N	HMDB0000895			15355
